Client,ROLE,MASTER_ROLE,DESC
900,ZSG_MM_PR.PRO_232,ZSG_MM_PR.PRO_XXX,MEAP Purchase Requisition (LEVI/1803)
900,ZSG_MM_PR.PRO_XXX,,MEAP Purchase Requisition
900,ZSG_MM_TO.PRO_202,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (APCR/1810)
900,ZSG_MM_TO.PRO_203,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (SCPW/1808)
900,ZSG_MM_TO.PRO_205,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (VISM/1803)
900,ZSG_MM_TO.PRO_206,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (VISV/1803)
900,ZSG_MM_TO.PRO_208,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (LEAC/1801)
900,ZSG_MM_TO.PRO_209,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (LERM/1811)
900,ZSG_MM_TO.PRO_210,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (LEHE/1801)
900,ZSG_MM_TO.PRO_213,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (PVSM/1802)
900,ZSG_MM_TO.PRO_214,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (PVPS/1802)
900,ZSG_MM_TO.PRO_215,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (JTSM/1802)
900,ZSG_MM_TO.PRO_218,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (FIAS/1806)
900,ZSG_MM_TO.PRO_219,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (FIAP/1806)
900,ZSG_MM_TO.PRO_220,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (FIAP/1806)
900,ZSG_MM_TO.PRO_221,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (FNSM/1805)
900,ZSG_MM_TO.PRO_222,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (FNSV/1805)
900,ZSG_MM_TO.PRO_223,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (FMSM/1809)
900,ZSG_MM_TO.PRO_224,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (FMSV/1809)
900,ZSG_MM_TO.PRO_225,ZSG_MM_TO.PRO_XXX,MEAP Transport Order (FASV/1804)
