ECC_ROLE,MASTER_ROLE,S4_DERIVED_ROLE
ZSG_SD_BL.REQCNC_210,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_815
ZSG_SD_CMIR.DSP_208,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_812
ZSG_SD_CMIR.DSP_210,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_815
ZSG_SD_CMIR.DSP_215,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_815
ZSG_SD_COND.DSP_208,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_812
ZSG_SD_COND.DSP_210,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_815
ZSG_SD_COND.DSP_215,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_815
ZSG_SD_DO.PRO_208,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_812
ZSG_SD_DO.PRO_210,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_815
ZSG_SD_DO.PRO_215,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_815
ZSG_SD_QT.PRO_208,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_812
ZSG_SD_QT.PRO_210,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_815
ZSG_SD_QT.PRO_215,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_815
ZSG_SD_SO.DSP_208,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_812
ZSG_SD_SO.DSP_210,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_815
ZSG_SD_SO.DSP_215,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_815
ZSG_SD_SO.PRO_208,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_812
ZSG_SD_SO.PRO_210,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_815
ZSG_SD_SO.PRO_215,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_815
ZSG_MM_PO.SP_DSP_GSCM_222,ZSG_MM_PO.SP_DSP_GSCM_XXX,ZSG_MM_PO.SP_DSP_GSCM_836
ZSG_SD_QT.PRO_218,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_833
ZSG_SD_QT.PRO_222,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_836
ZSG_SD_QT.PRO_224,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_837
ZSG_SD_QT.PRO_225,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_838
ZSG_BS_UT.DSP_202,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_851
ZSG_MM_IM.DSP_202,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_851
ZSG_MM_LO.PRO-GR_202,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_851
ZSG_MM_PO.CON_DSP,ZSG_MM_PO.CON_DSP,ZSG_MM_PO.CON_DSP
ZSG_MM_PO.DSP_202,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_851
